1;722.981754
1;724.230046
1;715.379945
1;724.643369
1;721.731005

4;178.596773
4;167.257353
4;166.891828
4;166.190643
4;172.671274

9;60.174909
9;59.589408
9;58.904051
9;58.910392
9;59.189633

16;53.362235
16;54.603090
16;54.666430
16;53.136267
16;55.164084

25;21.357761
25;21.578604
25;21.810596
25;20.335455
25;21.372123

36;19.058967
36;21.964274
36;20.743949
36;16.702026
36;17.199989

49;9.784239
49;10.182481
49;10.278963
49;9.780145
49;10.412263

81;5.668555
81;5.317550
81;9.510804
81;5.470167
81;8.551936

100;5.551216
100;5.377870
100;11.093224
100;5.740437
100;7.402766

144;4.947629
144;5.747099
144;6.440357
144;4.947986
144;4.236946

196;4.304988
196;5.053089
196;4.490543
196;4.468387
196;4.715307
